Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
67,0.558333,-30.379036,8.206366,-14.125205,-35.176960,-7.114950,460.952515
68,0.566667,-30.286913,8.204604,-14.012003,-34.904167,-6.121356,461.561310
69,0.575000,-30.154476,8.221676,-13.899292,-34.638321,-5.113871,462.177338
70,0.583333,-30.035568,8.208179,-13.809525,-34.348915,-4.067842,462.753540
71,0.591667,-29.852615,8.194137,-13.745756,-34.051052,-3.025136,463.295532
72,0.600000,-29.633118,8.195218,-13.706761,-33.739029,-1.931460,463.866608
73,0.608333,-29.434168,8.192032,-13.666885,-33.422226,-0.862163,464.391266
74,0.616667,-29.226776,8.167119,-13.618394,-33.098583,0.175001,464.927032
75,0.625000,-29.050051,8.188796,-13.557044,-32.766422,1.147820,465.440735
76,0.633333,-28.903227,8.180708,-13.504560,-32.402370,2.099285,465.968994
77,0.641667,-28.785583,8.203501,-13.449194,-32.053440,2.961235,466.473480
78,0.650000,-28.678684,8.199471,-13.392141,-31.683754,3.771059,466.987122
79,0.658333,-28.630175,8.232110,-13.323730,-31.342800,4.478990,467.503937
80,0.666667,-28.580681,8.293855,-13.271098,-30.981834,5.120895,467.977936
81,0.675000,-28.518171,8.334460,-13.240173,-30.634233,5.680408,468.436584
82,0.683333,-28.426477,8.346450,-13.262647,-30.246950,6.186063,468.861206
83,0.691667,-28.371876,8.359478,-13.302455,-29.853186,6.623268,469.240753
84,0.700000,-28.310061,8.375512,-13.331272,-29.434210,7.013815,469.569427
85,0.708333,-28.281782,8.370355,-13.336485,-29.000795,7.345406,469.831543
86,0.716667,-28.208073,8.393299,-13.303723,-28.543995,7.621342,469.991241
87,0.725000,-28.158342,8.407436,-13.259959,-28.097364,7.848850,470.120178
88,0.733333,-28.067011,8.429151,-13.217499,-27.638634,8.043861,470.173553
89,0.741667,-27.965105,8.441261,-13.179696,-27.163275,8.208096,470.194916
90,0.750000,-27.859304,8.425220,-13.144515,-26.655134,8.327638,470.146637
91,0.758333,-27.752184,8.413989,-13.098771,-26.134493,8.415800,470.057129
92,0.766667,-27.702507,8.380215,-13.039062,-25.604046,8.456333,469.919861
93,0.775000,-27.655375,8.343284,-12.968239,-25.076199,8.450369,469.772247
94,0.783333,-27.587065,8.277038,-12.896261,-24.532682,8.378471,469.522919
95,0.791667,-27.540968,8.269480,-12.821168,-24.027821,8.253099,469.260529
96,0.800000,-27.508427,8.261012,-12.748329,-23.551750,8.087527,468.997742
97,0.808333,-27.472794,8.253847,-12.698563,-23.074945,7.867975,468.661957
98,0.816667,-27.455627,8.294824,-12.661799,-22.623007,7.621073,468.273224
99,0.825000,-27.406815,8.297729,-12.665464,-22.184067,7.354862,467.862457
100,0.833333,-27.379307,8.302639,-12.693027,-21.762173,7.072229,467.450684
101,0.841667,-27.325970,8.307260,-12.754035,-21.345474,6.759975,467.015137
102,0.850000,-27.305134,8.306853,-12.823034,-20.965918,6.420893,466.588806
103,0.858333,-27.255453,8.299749,-12.906436,-20.590080,6.026651,466.125336
104,0.866667,-27.258530,8.296418,-12.963472,-20.256855,5.614974,465.696259
105,0.875000,-27.327747,8.285124,-12.991420,-19.938509,5.143052,465.234344
106,0.883333,-27.420984,8.274721,-13.003599,-19.661591,4.669738,464.818726
107,0.891667,-27.526047,8.280942,-12.990529,-19.405453,4.163480,464.369507
108,0.900000,-27.637518,8.310040,-12.949079,-19.179487,3.654206,463.933472
109,0.908333,-27.755089,8.365425,-12.875987,-18.978567,3.137954,463.461884
110,0.916667,-27.884514,8.401526,-12.806595,-18.801992,2.611999,462.981415
111,0.925000,-28.011963,8.431014,-12.737434,-18.634829,2.066179,462.468994
112,0.933333,-28.125755,8.444412,-12.675524,-18.483284,1.520878,461.962524
113,0.941667,-28.257902,8.468513,-12.622529,-18.344070,0.948791,461.452545
114,0.950000,-28.367031,8.474675,-12.590077,-18.214506,0.373809,460.893463
115,0.958333,-28.458401,8.484983,-12.567551,-18.086742,-0.159117,460.319183
116,0.966667,-28.544928,8.500320,-12.564593,-17.935381,-0.686472,459.665466
117,0.975000,-28.605228,8.538908,-12.572955,-17.789583,-1.189965,459.016602
118,0.983333,-28.628155,8.570930,-12.595860,-17.644041,-1.678940,458.333344
119,0.991667,-28.621237,8.612663,-12.649710,-17.495502,-2.198711,457.596985
120,1.000000,-28.627268,8.630096,-12.727226,-17.346470,-2.740061,456.874908
121,1.008333,-28.644739,8.666325,-12.824119,-17.210217,-3.308767,456.159149
122,1.016667,-28.684677,8.707365,-12.905964,-17.071100,-3.939616,455.414978
123,1.025000,-28.753914,8.738956,-12.965831,-16.910015,-4.599496,454.712189
124,1.033333,-28.836281,8.769838,-13.017435,-16.715855,-5.280110,454.021332
125,1.041667,-28.939379,8.812982,-13.049766,-16.487604,-6.026853,453.309906
126,1.050000,-29.058855,8.858116,-13.071629,-16.269361,-6.778180,452.649231
127,1.058333,-29.189817,8.886811,-13.087547,-16.033335,-7.592236,451.985443
128,1.066667,-29.336550,8.921201,-13.089894,-15.784127,-8.464784,451.337830
129,1.075000,-29.490231,8.948447,-13.085484,-15.542910,-9.309123,450.740997
