Format Version,1.25,Take Name,Take 2025-04-29 12.39.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-29 12.39.37.060 PM,Capture Start Frame,35987,Total Frames in Take,5690,Total Exported Frames,5690,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
69,0.575000,-98.484955,2.231974,-20.239199,2.393566,-72.616295,444.446930
70,0.583333,-98.443848,2.066763,-20.112427,1.942264,-72.583916,444.490448
71,0.591667,-98.391556,1.906965,-20.007338,1.535831,-72.548164,444.546539
72,0.600000,-98.383827,1.778927,-19.925884,1.186055,-72.537384,444.638000
73,0.608333,-98.342171,1.685104,-19.878878,0.907509,-72.515701,444.686523
74,0.616667,-98.310524,1.629384,-19.860786,0.716926,-72.500206,444.737122
75,0.625000,-98.298927,1.599879,-19.855120,0.620348,-72.483704,444.758728
76,0.633333,-98.304779,1.601529,-19.865883,0.611751,-72.481850,444.743561
77,0.641667,-98.327919,1.628018,-19.885050,0.651309,-72.491966,444.700348
78,0.650000,-98.353897,1.660514,-19.913473,0.722837,-72.512779,444.641541
79,0.658333,-98.395660,1.701530,-19.932507,0.803238,-72.542496,444.553436
80,0.666667,-98.460556,1.740692,-19.943350,0.894288,-72.580284,444.451630
81,0.675000,-98.530983,1.794207,-19.959269,1.009695,-72.620544,444.359131
82,0.683333,-98.559883,1.830643,-19.989182,1.134496,-72.643990,444.263123
83,0.691667,-98.627731,1.879277,-19.999004,1.270594,-72.679916,444.165649
84,0.700000,-98.644455,1.935365,-20.027225,1.422603,-72.700073,444.060883
85,0.708333,-98.699432,2.000720,-20.071157,1.606262,-72.734207,443.959320
86,0.716667,-98.772308,2.079369,-20.110792,1.805994,-72.774483,443.838531
87,0.725000,-98.795265,2.169627,-20.156115,2.029066,-72.807953,443.702393
