Format Version,1.25,Take Name,Take 2025-04-28 04.18.35 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.18.36.065 PM,Capture Start Frame,228436,Total Frames in Take,2247,Total Exported Frames,2247,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
71,0.591667,132.258743,-5.052509,168.624619,3.436229,-21.499247,445.400848
72,0.600000,132.274338,-5.083802,168.629562,3.215385,-21.473059,445.533325
73,0.608333,132.292648,-5.106184,168.625336,2.986208,-21.444201,445.663666
74,0.616667,132.279343,-5.119338,168.598770,2.730762,-21.397312,445.776184
75,0.625000,132.312927,-5.157101,168.540985,2.464585,-21.318611,445.871063
76,0.633333,132.339600,-5.171018,168.499161,2.177252,-21.202267,445.960297
77,0.641667,132.390350,-5.186472,168.468201,1.879116,-21.032648,446.033722
78,0.650000,132.463074,-5.227320,168.438736,1.567158,-20.802422,446.068542
79,0.658333,132.553818,-5.261195,168.444016,1.250691,-20.517494,446.099213
80,0.666667,132.630432,-5.330973,168.459747,0.929248,-20.179346,446.097046
81,0.675000,132.747177,-5.390351,168.483414,0.601058,-19.781437,446.090942
82,0.683333,132.874588,-5.450365,168.518600,0.264799,-19.341370,446.072662
83,0.691667,132.998749,-5.543276,168.524277,-0.078191,-18.834797,446.019836
84,0.700000,133.132614,-5.616113,168.538177,-0.401391,-18.331308,445.982391
85,0.708333,133.237976,-5.691213,168.548706,-0.714498,-17.764061,445.941010
86,0.716667,133.377472,-5.767359,168.555252,-0.985098,-17.165146,445.895569
87,0.725000,133.481766,-5.822579,168.567123,-1.214164,-16.534014,445.820190
88,0.733333,133.612671,-5.876355,168.581314,-1.400020,-15.872084,445.749664
89,0.741667,133.735565,-5.905040,168.569855,-1.538823,-15.177419,445.673767
90,0.750000,133.838760,-5.937055,168.524475,-1.634760,-14.467791,445.580200
91,0.758333,133.968521,-5.934009,168.473633,-1.685520,-13.710467,445.465607
92,0.766667,134.105347,-5.910643,168.420853,-1.686533,-12.916068,445.332520
93,0.775000,134.234848,-5.858407,168.370285,-1.641415,-12.072203,445.196594
94,0.783333,134.375336,-5.800982,168.328506,-1.555520,-11.161400,445.046814
95,0.791667,134.514252,-5.716653,168.298340,-1.420347,-10.172522,444.868835
96,0.800000,134.664368,-5.664659,168.265808,-1.287761,-9.178461,444.684082
97,0.808333,134.802032,-5.578119,168.251129,-1.148754,-8.119593,444.486633
98,0.816667,134.959244,-5.523132,168.214279,-1.033641,-7.019354,444.308228
99,0.825000,135.107666,-5.486047,168.178635,-0.940636,-5.873198,444.102509
100,0.833333,135.270004,-5.471317,168.153519,-0.876632,-4.650530,443.919983
101,0.841667,135.420883,-5.492030,168.125931,-0.836424,-3.448120,443.755035
102,0.850000,135.573914,-5.501617,168.118896,-0.811764,-2.145826,443.557220
103,0.858333,135.710251,-5.520933,168.105652,-0.794002,-0.854033,443.370911
104,0.866667,135.864639,-5.518440,168.099609,-0.780118,0.531281,443.194122
105,0.875000,135.996628,-5.492454,168.095413,-0.764218,1.922327,443.016418
106,0.883333,136.177628,-5.487398,168.072876,-0.751826,3.308728,442.848785
107,0.891667,136.369186,-5.459124,168.047516,-0.731162,4.756681,442.671082
108,0.900000,136.538712,-5.426478,168.010986,-0.712216,6.156247,442.532898
109,0.908333,136.701859,-5.379155,167.963211,-0.691317,7.568015,442.370667
110,0.916667,136.866348,-5.363074,167.883911,-0.677490,8.976589,442.222076
111,0.925000,137.059052,-5.337524,167.812271,-0.657226,10.367743,442.107788
112,0.933333,137.233521,-5.316387,167.755890,-0.637635,11.719890,442.000732
113,0.941667,137.396011,-5.295146,167.739288,-0.627586,13.011160,441.925262
114,0.950000,137.579468,-5.318844,167.750870,-0.621004,14.215048,441.886810
115,0.958333,137.739655,-5.332549,167.800354,-0.620269,15.296046,441.879242
116,0.966667,137.908752,-5.364674,167.876617,-0.628869,16.276558,441.907227
117,0.975000,138.041534,-5.406740,167.953018,-0.645248,17.097435,441.927490
118,0.983333,138.178009,-5.455388,168.027847,-0.665003,17.742697,441.952423
119,0.991667,138.221207,-5.499686,168.103592,-0.681907,18.212069,441.980103
120,1.000000,138.267639,-5.536941,168.165100,-0.708335,18.494284,442.038635
121,1.008333,138.249634,-5.584784,168.195450,-0.740386,18.608715,442.125153
122,1.016667,138.201584,-5.601103,168.193268,-0.773799,18.573006,442.213562
123,1.025000,138.160660,-5.615883,168.161591,-0.798500,18.416241,442.292480
124,1.033333,138.148087,-5.612459,168.133774,-0.815383,18.180069,442.362549
125,1.041667,138.122345,-5.580120,168.126831,-0.819692,17.853497,442.409302
126,1.050000,138.142273,-5.549288,168.134155,-0.826944,17.433340,442.453796
127,1.058333,138.146454,-5.539729,168.147995,-0.848303,16.962255,442.483704
128,1.066667,138.143585,-5.544541,168.163635,-0.891922,16.445524,442.518738
129,1.075000,138.145065,-5.567730,168.186691,-0.979018,15.828688,442.549225
130,1.083333,138.129089,-5.601162,168.228745,-1.096588,15.149590,442.573639
131,1.091667,138.132965,-5.661475,168.276993,-1.255449,14.393922,442.630341
132,1.100000,138.067307,-5.738398,168.336456,-1.457132,13.558318,442.714203
133,1.108333,138.038132,-5.813994,168.393311,-1.687466,12.654775,442.806641
134,1.116667,137.938156,-5.891336,168.437729,-1.933741,11.695982,442.915009
135,1.125000,137.843246,-5.976006,168.460098,-2.194480,10.685723,443.040833
