Frame,q0,qx,qy,qz,X,Y,Z,err
78,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
86,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
102,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
110,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
134,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
142,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
158,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
166,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
174,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
190,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
198,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
206,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
222,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
230,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
238,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
246,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
262,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
270,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
278,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
294,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
302,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
310,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
326,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
334,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
350,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
358,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
366,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
374,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
390,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
398,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
414,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
422,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
430,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
446,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
454,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
470,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
478,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
486,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
502,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
510,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
526,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
534,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
550,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
558,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
566,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
582,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
590,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
598,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
614,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
622,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
638,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
646,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
654,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
662,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
678,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
686,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
694,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
742,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
750,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
758,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
774,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
782,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
790,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
798,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
814,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
822,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
830,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
846,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
854,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
862,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
878,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
886,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
894,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
910,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
918,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
934,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
942,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
950,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
966,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
974,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
982,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
998,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1006,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1014,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1030,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1038,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1046,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1062,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1070,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1078,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1094,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1102,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1126,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1134,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1150,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1158,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1166,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1182,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1190,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1198,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1214,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1222,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1230,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1246,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1254,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1262,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1278,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1286,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1302,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1310,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1318,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1334,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1342,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1350,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1366,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1374,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1382,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1398,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1406,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1414,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1430,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1438,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1454,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1462,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1470,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1486,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1494,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1502,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1518,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1526,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1534,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1550,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1558,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
