Frame,q0,qx,qy,qz,X,Y,Z,err
62,0.908,-0.212,-0.213,0.292,111.641,9.214,-300.843,0.506
86,0.935,-0.185,-0.238,0.185,118.893,4.471,-304.787,0.686
110,0.905,-0.201,-0.212,0.310,117.477,6.708,-293.111,0.332
134,0.893,-0.223,-0.222,0.322,123.565,4.021,-299.708,0.264
150,0.888,-0.216,-0.166,0.372,119.967,14.375,-287.881,0.253
174,0.915,-0.207,-0.167,0.303,117.950,15.886,-273.541,0.377
198,0.905,-0.209,-0.144,0.343,117.116,20.950,-269.519,0.067
214,0.905,-0.186,-0.134,0.357,114.097,24.674,-263.629,0.184
238,0.914,-0.164,-0.126,0.348,114.460,29.578,-253.542,0.150
262,0.919,-0.165,-0.120,0.338,114.801,27.774,-244.873,0.213
278,0.912,-0.141,-0.116,0.368,111.170,29.604,-234.085,0.114
302,0.922,-0.136,-0.108,0.346,105.595,28.106,-220.104,0.155
326,0.913,-0.115,-0.088,0.381,98.565,24.668,-201.606,0.070
350,0.914,-0.088,-0.065,0.391,90.438,21.229,-180.150,0.069
374,0.915,-0.078,-0.042,0.395,82.926,16.903,-159.551,0.047
390,0.909,-0.064,-0.036,0.410,77.919,13.315,-147.396,0.039
414,0.907,-0.053,-0.020,0.417,70.000,8.929,-133.737,0.051
438,0.904,-0.055,-0.009,0.425,62.365,7.571,-124.950,0.045
454,0.899,-0.056,0.003,0.433,58.099,6.986,-119.549,0.036
478,0.898,-0.050,0.014,0.437,51.840,6.379,-110.346,0.039
502,0.896,-0.050,0.027,0.439,46.654,7.716,-102.417,0.045
518,0.896,-0.041,0.027,0.441,44.145,8.103,-97.708,0.037
542,0.896,-0.037,0.034,0.441,41.303,10.507,-94.018,0.036
566,0.898,-0.036,0.038,0.437,39.223,11.882,-93.208,0.045
590,0.897,-0.041,0.041,0.438,37.414,13.568,-94.732,0.050
606,0.897,-0.042,0.042,0.438,36.249,14.476,-95.532,0.047
630,0.899,-0.036,0.040,0.435,35.308,16.696,-96.342,0.047
654,0.898,-0.033,0.039,0.437,34.834,19.643,-98.954,0.043
670,0.897,-0.033,0.041,0.439,33.322,21.232,-100.947,0.044
694,0.896,-0.028,0.041,0.441,31.410,23.562,-102.694,0.040
718,0.897,-0.031,0.041,0.439,28.314,26.421,-106.365,0.043
734,0.893,-0.028,0.041,0.446,26.313,28.068,-107.378,0.033
758,0.893,-0.030,0.042,0.447,22.435,29.603,-107.654,0.032
782,0.891,-0.034,0.045,0.451,18.232,30.719,-106.641,0.033
806,0.891,-0.036,0.048,0.450,14.340,31.506,-105.009,0.034
822,0.889,-0.031,0.048,0.454,11.626,31.778,-104.290,0.034
846,0.891,-0.030,0.046,0.450,7.964,33.757,-104.218,0.031
