Frame,q0,qx,qy,qz,X,Y,Z,err
1886,0.689,-0.086,-0.010,0.719,28.729,63.460,-92.395,0.045
1910,0.693,-0.088,-0.009,0.715,27.728,68.342,-92.522,0.047
1934,0.697,-0.087,-0.009,0.712,27.244,73.319,-92.616,0.049
1958,0.696,-0.089,-0.007,0.713,26.921,75.853,-93.052,0.052
1974,0.698,-0.087,-0.007,0.711,26.930,76.416,-92.384,0.048
1998,0.699,-0.088,-0.008,0.709,27.403,76.984,-92.561,0.052
2022,0.699,-0.088,-0.007,0.710,27.539,75.925,-92.885,0.111
2046,0.695,-0.086,-0.007,0.714,28.571,70.387,-92.247,0.048
2062,0.694,-0.083,-0.008,0.715,29.528,66.790,-91.861,0.046
2086,0.690,-0.084,-0.008,0.719,30.722,60.183,-92.235,0.044
2110,0.686,-0.081,-0.008,0.723,32.076,53.166,-91.565,0.043
2134,0.687,-0.080,-0.010,0.722,33.957,45.850,-90.912,0.042
2150,0.689,-0.081,-0.011,0.721,35.077,40.707,-90.974,0.048
2174,0.691,-0.080,-0.014,0.718,37.005,33.172,-90.875,0.057
2198,0.691,-0.080,-0.017,0.719,38.791,26.162,-90.746,0.067
2214,0.687,-0.078,-0.018,0.722,39.926,22.002,-90.868,0.062
2238,0.684,-0.077,-0.019,0.725,41.808,16.750,-91.008,0.060
2262,0.677,-0.077,-0.019,0.732,43.245,11.352,-90.906,0.051
2278,0.673,-0.075,-0.020,0.735,44.164,7.982,-90.606,0.047
2302,0.668,-0.075,-0.020,0.740,45.510,2.835,-90.709,0.046
2326,0.661,-0.071,-0.021,0.747,46.587,-2.445,-90.047,0.042
2342,0.658,-0.071,-0.022,0.749,46.830,-5.495,-90.590,0.041
2366,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
2374,0.654,-0.074,-0.024,0.753,47.293,-8.782,-92.479,0.043
2398,0.652,-0.073,-0.022,0.754,47.626,-10.192,-92.605,0.043
2422,0.654,-0.071,-0.023,0.752,48.089,-9.193,-90.861,0.044
2446,0.660,-0.072,-0.022,0.747,47.342,-5.169,-90.440,0.042
2462,0.665,-0.073,-0.020,0.743,46.455,-1.496,-89.840,0.042
2486,0.671,-0.071,-0.018,0.738,44.532,5.487,-86.844,0.043
2510,0.679,-0.066,-0.016,0.731,42.069,13.801,-83.001,0.047
2526,0.686,-0.066,-0.014,0.725,40.242,19.778,-82.035,0.053
2550,0.691,-0.069,-0.011,0.719,37.538,27.916,-81.571,0.058
2574,0.688,-0.069,-0.009,0.723,34.858,35.406,-80.702,0.049
2598,0.688,-0.069,-0.005,0.722,32.554,42.170,-79.880,0.045
2614,0.685,-0.069,-0.002,0.726,30.875,46.285,-80.235,0.041
2638,0.687,-0.070,-0.001,0.723,29.409,51.770,-79.925,0.042
2662,0.690,-0.070,-0.000,0.721,28.618,56.841,-79.383,0.044
2678,0.691,-0.069,0.001,0.719,28.372,59.612,-79.083,0.045
2702,0.693,-0.069,0.002,0.717,28.172,61.985,-78.860,0.046
2726,0.698,-0.067,0.002,0.713,28.603,61.814,-78.709,0.044
2742,0.695,-0.068,0.008,0.716,28.956,61.275,-79.030,0.043
2766,0.698,-0.064,0.015,0.713,30.524,61.289,-78.527,0.043
2790,0.705,-0.063,0.021,0.706,31.616,62.140,-80.399,0.045
2814,0.705,-0.063,0.020,0.706,31.132,61.576,-83.974,0.044
2830,0.703,-0.065,0.017,0.708,30.574,59.482,-85.945,0.044
2854,0.703,-0.064,0.016,0.708,30.255,55.919,-88.188,0.044
2878,0.705,-0.065,0.014,0.706,30.488,52.615,-93.466,0.042
2894,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
2910,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
2918,0.707,-0.067,0.001,0.704,29.572,44.228,-108.896,0.039
2942,0.709,-0.069,-0.008,0.702,29.190,40.208,-119.994,0.040
2958,0.708,-0.072,-0.015,0.702,29.218,37.938,-126.588,0.045
2982,0.709,-0.072,-0.025,0.701,28.972,35.164,-134.850,0.044
