Frame,q0,qx,qy,qz,X,Y,Z,err
86,0.773,-0.025,-0.121,0.622,80.571,83.014,-142.931,0.077
110,0.772,0.034,-0.155,0.616,76.951,72.742,-139.226,0.045
126,0.771,0.057,-0.131,0.620,77.201,73.636,-139.349,0.050
150,0.772,0.059,-0.164,0.612,72.564,67.935,-143.661,0.092
174,0.762,0.047,-0.135,0.632,73.430,70.805,-142.238,0.082
198,0.745,0.048,-0.136,0.652,70.810,68.363,-139.926,0.033
214,0.755,0.044,-0.134,0.641,71.021,69.041,-138.894,0.052
238,0.755,0.058,-0.110,0.644,73.090,71.328,-136.797,0.060
262,0.758,0.066,-0.111,0.639,72.230,68.243,-134.741,0.050
286,0.747,0.071,-0.083,0.656,75.253,64.945,-131.064,0.052
302,0.752,0.068,-0.082,0.651,74.648,59.020,-126.317,0.067
326,0.736,0.075,-0.042,0.671,77.517,51.986,-118.998,0.047
350,0.735,0.087,-0.037,0.671,74.876,41.044,-109.649,0.037
374,0.731,0.116,-0.014,0.672,74.706,31.800,-101.086,0.035
390,0.727,0.163,-0.025,0.667,76.358,19.448,-98.767,0.048
414,0.717,0.100,0.098,0.682,76.952,39.625,-78.879,0.108
438,0.696,-0.052,0.204,0.686,74.518,66.310,-72.811,0.044
462,0.704,0.058,0.066,0.705,67.936,30.763,-69.840,0.040
486,0.663,0.072,0.184,0.722,91.336,45.061,-70.836,0.047
502,0.659,0.085,0.182,0.725,86.899,44.373,-70.011,0.145
526,0.657,0.083,0.394,0.637,118.796,70.716,-82.419,0.065
550,0.674,0.012,0.374,0.637,106.061,74.733,-81.657,0.054
574,0.708,0.066,0.338,0.616,102.458,62.078,-80.619,0.038
590,0.747,0.110,0.302,0.583,99.816,51.039,-80.517,0.067
614,0.754,0.078,0.268,0.595,87.088,46.939,-79.174,0.058
638,0.757,0.091,0.237,0.602,77.425,38.104,-77.378,0.072
662,0.736,0.080,0.247,0.625,73.450,35.704,-80.309,0.046
678,0.746,0.088,0.245,0.613,69.058,29.963,-79.542,0.058
702,0.755,0.105,0.221,0.608,63.218,19.223,-80.616,0.036
726,0.769,0.107,0.209,0.595,58.455,10.621,-84.733,0.076
750,0.785,0.129,0.138,0.590,49.798,1.870,-82.390,0.051
774,0.755,0.104,0.153,0.629,49.947,4.543,-80.217,0.038
790,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
806,0.721,0.069,0.161,0.671,50.484,16.399,-74.812,0.041
830,0.720,0.056,0.183,0.667,57.643,33.460,-78.897,0.051
846,0.749,0.032,0.150,0.645,57.658,43.358,-83.697,0.069
870,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
878,0.780,-0.003,0.150,0.607,62.790,63.974,-104.746,0.049
902,0.785,-0.013,0.159,0.598,66.659,72.519,-114.615,0.059
926,0.803,-0.008,0.151,0.576,67.837,70.186,-119.520,0.054
950,0.803,-0.018,0.159,0.574,70.083,72.087,-123.866,0.050
974,0.807,-0.024,0.160,0.568,72.705,71.707,-127.639,0.057
990,0.806,-0.020,0.157,0.570,73.210,69.380,-129.357,0.057
1014,0.811,-0.022,0.161,0.562,74.295,68.782,-130.123,0.075
1038,0.816,-0.015,0.155,0.557,74.672,67.116,-126.707,0.051
1062,0.814,-0.017,0.162,0.557,78.652,72.632,-124.486,0.061
1078,0.820,-0.018,0.163,0.549,81.232,74.282,-122.327,0.075
1102,0.812,-0.025,0.167,0.559,83.857,75.571,-118.886,0.065
1126,0.816,-0.023,0.171,0.552,86.242,75.106,-116.908,0.066
1150,0.822,-0.012,0.171,0.543,87.663,73.591,-115.635,0.069
1166,0.819,-0.010,0.178,0.545,88.443,75.740,-115.825,0.072
1190,0.827,-0.008,0.175,0.534,88.132,76.864,-115.850,0.073
1214,0.833,-0.004,0.172,0.526,88.017,79.668,-115.247,0.065
1238,0.831,-0.007,0.179,0.527,87.823,83.337,-115.057,0.060
1254,0.826,-0.012,0.182,0.533,85.495,83.227,-114.965,0.057
1278,0.829,-0.012,0.182,0.528,83.338,78.362,-113.824,0.068
1302,0.825,-0.008,0.194,0.530,82.276,72.060,-112.639,0.064
1326,0.829,0.007,0.190,0.525,78.915,62.101,-110.715,0.072
1342,0.829,0.018,0.199,0.522,78.661,57.195,-112.535,0.066
1366,0.852,0.042,0.178,0.490,73.557,43.227,-111.915,0.055
1390,0.866,0.061,0.175,0.465,72.268,33.931,-111.225,0.053
1414,0.877,0.063,0.169,0.446,69.028,26.354,-107.429,0.043
1430,0.876,0.055,0.181,0.444,67.756,23.204,-105.541,0.059
1454,0.861,0.026,0.184,0.474,61.893,21.991,-99.404,0.032
1478,0.843,-0.004,0.210,0.495,58.953,26.557,-94.007,0.057
1502,0.834,0.001,0.213,0.508,55.681,27.562,-87.878,0.053
1518,0.827,0.006,0.219,0.518,53.922,28.781,-84.801,0.053
1542,0.820,0.021,0.221,0.528,51.273,28.732,-80.769,0.049
1566,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1574,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1590,0.816,0.054,0.218,0.532,46.683,29.063,-69.983,0.049
1606,0.810,0.050,0.226,0.539,46.011,32.027,-67.995,0.054
1630,0.805,0.049,0.232,0.544,45.373,35.199,-65.501,0.058
1654,0.809,0.050,0.230,0.538,44.513,36.824,-65.063,0.054
1678,0.809,0.046,0.229,0.540,43.723,39.808,-67.040,0.051
1694,0.804,0.044,0.230,0.546,43.653,41.510,-69.069,0.055
1718,0.811,0.046,0.225,0.538,43.417,40.670,-72.079,0.051
1742,0.810,0.048,0.230,0.536,44.366,40.539,-74.763,0.056
1766,0.815,0.056,0.226,0.531,45.657,36.566,-75.237,0.051
1782,0.809,0.047,0.235,0.537,46.742,36.573,-75.349,0.059
1806,0.808,0.051,0.234,0.538,47.924,32.267,-74.150,0.053
1830,0.808,0.047,0.233,0.539,47.668,29.457,-74.505,0.049
1854,0.807,0.047,0.233,0.540,47.688,28.022,-75.889,0.049
1870,0.808,0.047,0.235,0.538,47.606,27.948,-76.663,0.052
1894,0.810,0.050,0.234,0.536,47.134,26.293,-78.001,0.051
1918,0.809,0.052,0.237,0.535,46.874,24.275,-77.389,0.053
1934,0.810,0.055,0.236,0.534,46.737,22.131,-76.569,0.046
1958,0.806,0.051,0.239,0.539,46.282,20.756,-75.227,0.050
1982,0.805,0.051,0.239,0.541,45.939,19.855,-73.884,0.046
2006,0.803,0.048,0.241,0.542,45.394,19.997,-73.521,0.049
2030,0.803,0.047,0.241,0.543,44.652,20.112,-73.347,0.049
2046,0.803,0.047,0.240,0.543,44.276,19.835,-73.768,0.050
2070,0.805,0.050,0.238,0.541,44.089,19.430,-74.610,0.046
2094,0.805,0.047,0.240,0.540,44.150,20.004,-76.569,0.053
2118,0.806,0.046,0.236,0.540,43.389,20.277,-79.445,0.049
2134,0.806,0.040,0.236,0.541,42.683,22.125,-82.006,0.051
2158,0.804,0.033,0.234,0.546,40.766,25.052,-86.231,0.054
2182,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
2190,0.804,0.022,0.236,0.546,38.092,30.448,-94.066,0.053
2214,0.802,0.025,0.229,0.552,37.061,33.356,-98.279,0.048
2238,0.802,0.016,0.233,0.550,36.379,37.974,-103.017,0.059
2262,0.805,0.019,0.223,0.549,35.772,37.448,-106.127,0.051
2278,0.801,0.014,0.228,0.553,34.984,40.043,-109.395,0.054
2302,0.804,0.013,0.219,0.553,33.314,41.879,-113.766,0.055
2326,0.802,0.010,0.216,0.557,32.047,44.911,-119.011,0.053
2350,0.805,0.009,0.210,0.555,31.831,45.448,-122.795,0.049
2366,0.805,0.004,0.210,0.555,32.068,45.704,-125.342,0.054
2390,0.803,0.002,0.207,0.558,31.627,44.940,-128.344,0.044
2414,0.809,-0.007,0.212,0.548,32.081,47.799,-130.844,0.064
2438,0.813,-0.001,0.203,0.547,30.805,47.681,-131.226,0.044
2454,0.807,-0.011,0.204,0.555,30.145,49.977,-132.746,0.051
2478,0.797,-0.025,0.204,0.569,29.043,52.071,-135.054,0.060
2502,0.793,-0.030,0.199,0.575,28.661,51.713,-137.886,0.045
2526,0.798,-0.028,0.200,0.568,29.857,51.605,-141.183,0.054
2542,0.800,-0.023,0.199,0.566,30.738,51.087,-142.591,0.048
2566,0.807,-0.020,0.196,0.557,32.368,50.401,-143.653,0.055
2590,0.807,-0.016,0.198,0.556,33.547,50.728,-144.754,0.044
2614,0.814,-0.011,0.196,0.547,34.950,49.961,-145.522,0.052
2630,0.811,-0.012,0.200,0.550,34.961,50.635,-146.841,0.048
2654,0.805,-0.018,0.199,0.558,34.062,51.396,-149.504,0.043
2678,0.809,-0.022,0.195,0.554,33.199,51.468,-152.549,0.061
2726,0.804,-0.036,0.198,0.560,32.356,55.049,-158.394,0.071
2742,0.799,-0.036,0.197,0.567,31.833,55.255,-159.258,0.049
2766,0.803,-0.040,0.197,0.561,31.662,56.242,-160.478,0.053
2790,0.805,-0.030,0.195,0.559,30.628,58.079,-161.346,0.050
2814,0.809,-0.026,0.197,0.554,29.844,61.096,-163.696,0.068
2830,0.818,-0.029,0.193,0.541,29.483,61.155,-164.235,0.073
2854,0.812,-0.028,0.195,0.549,30.042,62.191,-165.901,0.075
2878,0.813,-0.026,0.196,0.548,30.209,61.816,-165.737,0.046
2902,0.811,-0.026,0.201,0.549,29.799,62.544,-164.719,0.067
2918,0.807,-0.023,0.199,0.556,30.025,62.401,-162.605,0.038
2942,0.808,-0.032,0.201,0.554,30.321,63.162,-161.721,0.077
2966,0.804,-0.033,0.201,0.558,29.528,63.299,-161.197,0.054
2990,0.805,-0.031,0.200,0.557,29.844,63.108,-161.302,0.048
3006,0.805,-0.033,0.202,0.556,29.651,63.347,-161.309,0.058
3030,0.805,-0.033,0.203,0.557,29.637,63.373,-161.497,0.052
3054,0.806,-0.032,0.203,0.555,29.978,63.390,-161.705,0.050
3078,0.807,-0.022,0.206,0.553,30.933,62.099,-159.554,0.049
3094,0.808,-0.023,0.204,0.552,31.365,61.729,-158.608,0.082
3118,0.804,-0.026,0.207,0.556,31.323,59.678,-157.765,0.056
3142,0.803,-0.026,0.209,0.557,31.406,56.431,-157.435,0.063
3166,0.804,-0.029,0.209,0.557,31.774,52.285,-156.467,0.073
3182,0.794,-0.025,0.210,0.570,32.043,49.854,-155.543,0.057
3206,0.793,-0.027,0.210,0.571,32.279,45.652,-154.097,0.058
3230,0.784,-0.026,0.212,0.583,32.200,40.416,-151.911,0.041
3254,0.789,-0.028,0.211,0.576,33.198,34.533,-150.034,0.068
3270,0.781,-0.024,0.216,0.585,33.572,31.354,-149.544,0.049
3294,0.782,-0.023,0.214,0.585,34.357,25.191,-148.314,0.050
