Frame,q0,qx,qy,qz,X,Y,Z,err
78,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
86,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
94,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
110,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
126,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
142,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
150,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
158,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
174,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
182,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
190,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
206,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
214,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
222,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
238,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
246,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
254,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
270,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
278,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
286,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
302,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
310,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
318,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
334,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
342,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
350,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
366,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
374,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
382,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
398,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
406,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
414,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
430,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
438,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
446,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
462,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
470,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
478,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
494,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
502,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
510,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
526,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
534,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
542,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
558,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
566,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
574,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
590,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
598,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
606,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
622,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
630,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
638,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
654,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
662,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
678,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
686,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
694,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
710,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
718,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
726,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
742,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
750,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
758,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
774,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
782,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
790,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
798,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
814,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
822,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
830,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
846,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
854,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
862,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
878,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
886,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
894,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
910,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
918,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
926,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
942,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
950,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
958,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
974,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
982,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
990,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1006,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1014,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1022,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1038,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1046,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1054,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1070,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1078,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1086,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1102,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1110,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1134,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1142,0.834,-0.090,0.078,0.538,155.775,80.576,-193.354,0.140
1166,0.811,-0.173,0.110,0.548,148.909,73.297,-189.112,0.126
1182,0.818,-0.147,0.172,0.529,160.101,60.505,-185.067,0.161
1206,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
1214,0.803,-0.088,0.173,0.564,150.042,23.657,-173.325,0.110
1238,0.737,-0.142,0.218,0.623,147.012,16.470,-172.665,0.052
1262,0.755,-0.059,0.195,0.624,144.603,-7.695,-166.811,0.130
1278,0.751,-0.042,0.222,0.621,154.582,-32.142,-168.767,0.653
1302,0.794,-0.103,0.118,0.587,129.924,-32.088,-162.123,0.109
1326,0.804,-0.058,0.153,0.572,132.345,-40.247,-153.858,0.208
1342,0.817,-0.069,0.102,0.564,123.540,-41.701,-151.143,0.066
1366,0.817,-0.069,0.073,0.568,112.519,-52.197,-145.793,0.094
1390,0.825,-0.010,0.017,0.565,107.715,-72.418,-140.113,0.253
1406,0.790,0.041,0.047,0.610,104.036,-75.681,-135.180,0.187
1430,0.787,-0.008,-0.003,0.617,93.552,-77.665,-131.452,0.052
1454,0.767,-0.034,-0.020,0.641,84.132,-71.785,-130.211,0.072
1470,0.723,-0.069,-0.034,0.686,72.152,-65.194,-128.725,0.069
1494,0.695,-0.154,-0.047,0.701,60.154,-50.995,-130.314,0.065
1518,0.731,-0.124,0.013,0.671,63.580,-37.288,-128.544,0.095
1534,0.739,-0.065,0.102,0.663,68.190,-25.027,-131.386,0.133
1558,0.756,-0.106,0.208,0.612,68.997,-13.531,-145.566,0.061
1582,0.793,-0.131,0.241,0.545,70.665,-9.790,-151.599,0.117
1606,0.790,-0.128,0.264,0.538,68.074,-5.728,-153.402,0.110
1622,0.780,-0.073,0.299,0.544,69.632,-6.698,-160.899,0.091
1646,0.767,-0.077,0.276,0.574,64.341,-4.395,-160.366,0.027
