Frame,q0,qx,qy,qz,X,Y,Z,err
10:28:56.715217,78,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.749904,86,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.781222,94,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.811631,110,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.846793,118,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.881110,126,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.910795,142,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.944307,150,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:56.977042,158,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.009362,174,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.042870,182,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.082121,190,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.115105,206,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.150804,214,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.184224,222,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.213291,238,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.247103,246,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.281765,254,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.316421,270,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.353396,278,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.387283,294,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.424103,302,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.458928,310,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.492148,326,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.534928,334,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.566981,350,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.601026,358,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.635209,374,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.667764,382,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.701905,390,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.732367,406,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.771718,414,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.803789,422,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.842521,438,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.884832,454,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.918572,462,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.949953,470,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:57.983426,486,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
10:28:58.017554,494,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0.000
