Format Version,1.25,Take Name,Take 2025-06-05 03.55.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-05 03.55.41.085 PM,Capture Start Frame,158944,Total Frames in Take,4364,Total Exported Frames,4364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key2,key2,key2,key2,key2,key2,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs
,ID,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6
,Parent,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,0.283333,7.431879,-13.311525,7.779605,10.348956,-58.855152,396.559052,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
35,0.291667,7.441838,-13.328963,7.789108,10.362597,-58.916767,396.485229,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
36,0.300000,7.489017,-13.328446,7.810103,10.395505,-58.981251,396.371246,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
37,0.308333,7.443847,-13.364572,7.820628,10.394236,-59.066505,396.363617,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
38,0.316667,7.503937,-13.348747,7.847607,10.427560,-59.132214,396.224457,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
39,0.325000,7.349325,-13.375237,7.829691,10.429451,-59.247784,396.188873,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
40,0.333333,7.404712,-13.349704,7.852416,10.461462,-59.306038,396.071075,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
41,0.341667,7.380313,-13.328802,7.859056,10.495598,-59.374187,395.970703,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
42,0.350000,7.410660,-13.296452,7.880328,10.550919,-59.410233,395.875549,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
43,0.358333,7.510937,-13.285895,7.909386,10.643349,-59.431232,395.757507,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
44,0.366667,7.402284,-13.330706,7.879607,10.718909,-59.517662,395.761505,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
45,0.375000,7.395942,-13.345269,7.868101,10.819007,-59.566189,395.761414,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
46,0.383333,7.307018,-13.389026,7.821516,10.935404,-59.640854,395.765961,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
47,0.391667,7.289744,-13.438913,7.785801,11.089622,-59.681175,395.765167,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
48,0.400000,7.376310,-13.474998,7.765441,11.239184,-59.715302,395.781830,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
49,0.408333,7.456699,-13.447814,7.757228,11.395776,-59.749256,395.712128,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
50,0.416667,7.430497,-13.482057,7.728799,11.561528,-59.807510,395.720886,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
51,0.425000,7.408016,-13.478629,7.690699,11.715874,-59.880344,395.711273,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
52,0.433333,7.468451,-13.495920,7.681702,11.898726,-59.923008,395.676117,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
53,0.441667,7.557217,-13.468354,7.685985,12.071836,-59.959770,395.651459,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
54,0.450000,7.628554,-13.487537,7.675126,12.244006,-60.006378,395.612305,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
55,0.458333,7.718324,-13.495920,7.667523,12.424623,-60.055630,395.550842,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
56,0.466667,7.585661,-13.521152,7.615651,12.577537,-60.159588,395.584442,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
57,0.475000,7.668457,-13.570462,7.613452,12.750186,-60.212112,395.605713,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
58,0.483333,7.736290,-13.573014,7.591334,12.913326,-60.278816,395.576019,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
59,0.491667,7.620916,-13.654631,7.537328,13.055424,-60.397678,395.644501,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
60,0.500000,7.657480,-13.692295,7.526227,13.229468,-60.472725,395.641815,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
61,0.508333,7.981608,-13.643713,7.583505,13.447217,-60.465328,395.445435,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
62,0.516667,8.096951,-13.631717,7.591764,13.636439,-60.507786,395.356812,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
63,0.525000,8.001513,-13.699882,7.537589,13.801120,-60.614704,395.357361,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
64,0.533333,8.086380,-13.756146,7.517867,14.016861,-60.684967,395.267120,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
65,0.541667,7.897898,-13.851149,7.439347,14.171571,-60.828419,395.357758,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
66,0.550000,8.200422,-13.805353,7.477477,14.429765,-60.823093,395.028229,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
67,0.558333,7.938166,-13.943405,7.399236,14.564281,-60.946117,395.196411,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
68,0.566667,8.033714,-13.968129,7.410554,14.760203,-60.972134,395.093933,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
69,0.575000,8.250927,-13.959434,7.440529,14.991197,-60.980305,394.919312,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
70,0.583333,8.232022,-14.000878,7.410148,15.206622,-61.046013,394.802704,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
71,0.591667,8.035422,-14.068818,7.348394,15.387850,-61.157768,394.789917,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
72,0.600000,7.924621,-14.159986,7.296857,15.589765,-61.241558,394.809204,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
73,0.608333,8.072656,-14.152090,7.318145,15.842113,-61.244358,394.620361,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
74,0.616667,8.287858,-14.118182,7.361064,16.097939,-61.203964,394.411255,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
75,0.625000,8.611800,-14.085468,7.428134,16.398926,-61.151917,394.149811,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
76,0.633333,8.552765,-14.157665,7.393753,16.640718,-61.181885,394.168823,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
77,0.641667,8.584740,-14.161967,7.374348,16.940952,-61.190063,393.962402,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
78,0.650000,8.470236,-14.206295,7.336482,17.189997,-61.228355,393.963806,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
79,0.658333,8.549106,-14.253722,7.325745,17.477663,-61.224426,393.864471,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
80,0.666667,8.467464,-14.315102,7.295056,17.718904,-61.235191,393.907867,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
81,0.675000,8.526458,-14.327341,7.308056,17.993959,-61.204807,393.855835,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
82,0.683333,8.586631,-14.358582,7.314665,18.273310,-61.178600,393.840851,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
83,0.691667,8.629031,-14.344762,7.329764,18.541842,-61.133656,393.820221,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
84,0.700000,8.555060,-14.387984,7.315323,18.803238,-61.125652,393.928253,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
85,0.708333,8.633503,-14.418869,7.336819,19.103188,-61.087234,394.007507,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
86,0.716667,8.388672,-14.432113,7.288019,19.364845,-61.107529,394.105438,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
87,0.725000,8.434973,-14.436370,7.298371,19.686123,-61.048370,394.139740,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
88,0.733333,8.389729,-14.376510,7.289085,20.010401,-61.000282,394.155518,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
89,0.741667,8.181982,-14.390010,7.240345,20.350754,-60.991299,394.253784,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
90,0.750000,7.929429,-14.382709,7.166630,20.693825,-61.004868,394.345642,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
